URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
1,https://insights.blackcoffer.com/how-is-login-logout-time-tracking-for-employees-in-office-done-by-ai/,6,11,-0.227272717,0.033333333,18.21428571,0.664705882,7.551596639,18.21428571,339,510,1254,4,5.196629213
2,https://insights.blackcoffer.com/how-does-ai-help-to-monitor-retail-shelf-watches/,13,14,-0.035714284,0.06,15.51724138,0.717777778,6.494007663,15.51724138,323,450,1186,2,5.356012658
3,https://insights.blackcoffer.com/ai-and-its-impact-on-the-fashion-industry/,39,36,0.041666666,0.059055118,16.49350649,0.702362205,6.878347479,16.49350649,892,1270,3339,13,5.393569845
4,https://insights.blackcoffer.com/how-do-deep-learning-models-predict-old-and-new-drugs-that-are-successfully-treated-in-healthcare/,9,4,0.624999922,0.044673539,19.4,0.718213058,8.047285223,19.4,209,291,819,1,5.351039261
5,https://insights.blackcoffer.com/how-artificial-intelligence-can-boost-your-productivity-level/,25,29,-0.068965516,0.063454759,14.18333333,0.634547591,5.92715237,14.18333333,540,851,2185,27,5.083469722
6,https://insights.blackcoffer.com/how-are-genetic-sequencing-maps-affected-by-deep-learning-and-ai/,26,20,0.149999996,0.05548854,15.64150943,0.677925211,6.527773858,15.64150943,562,829,2131,3,5.460573477
7,https://insights.blackcoffer.com/how-is-ai-used-to-solve-traffic-management/,21,47,-0.276595742,0.063138347,17.37096774,0.6545961,7.210225537,17.37096774,705,1077,2569,1,5.623798965
8,https://insights.blackcoffer.com/benefits-of-big-data-in-different-fields/,35,22,0.295454539,0.042600897,15.03370787,0.683109118,6.286726793,15.03370787,914,1338,3408,9,5.400558659
9,https://insights.blackcoffer.com/how-big-data-will-impact-the-future-of-business/,35,27,0.148148145,0.0529462,14.6375,0.684030743,6.128612297,14.6375,801,1171,3035,3,5.429564119
10,https://insights.blackcoffer.com/how-will-ai-make-decisions-in-tomorrows-wars/,11,20,-0.224999994,0.075794621,9.975609756,0.611246944,4.23474268,9.975609756,250,409,1036,2,5.035714286
11,https://insights.blackcoffer.com/which-one-is-better-ai-or-big-data/,8,8,0,0.032989691,13.85714286,0.731958763,5.835640648,13.85714286,355,485,1261,3,5.34059098
12,https://insights.blackcoffer.com/how-robots-can-help-in-e-learning-platforms/,24,44,-0.227272725,0.072961373,13.12676056,0.639484979,5.506498217,13.12676056,596,932,2421,32,5.056348074
13,https://insights.blackcoffer.com/how-does-big-data-help-in-finance-and-the-growth-of-large-firms/,19,27,-0.148148145,0.058449809,13.11666667,0.68360864,5.520110123,13.11666667,538,787,2131,4,4.953586498
14,https://insights.blackcoffer.com/future-of-work-robot-ai-and-automation/,11,10,0.049999998,0.053571428,16.33333333,0.655612245,6.795578231,16.33333333,257,392,1073,5,5.3117338
15,https://insights.blackcoffer.com/how-ai-will-help-the-defense-power-of-a-country/,22,45,-0.255555553,0.070230608,10.14893617,0.667714885,4.326660422,10.14893617,637,954,2483,7,5.070402299
16,https://insights.blackcoffer.com/future-of-ai-and-machine-roles-in-the-medical-sector/,12,15,-0.099999997,0.044262295,17.42857143,0.647540984,7.230444965,17.42857143,395,610,1609,6,4.965226554
17,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,29,32,-0.046874999,0.0449521,17.3974359,0.70523213,7.241067211,17.3974359,957,1357,3512,1,5.716759777
18,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,23,30,-0.116666665,0.054808687,13.61971831,0.570837642,5.676222381,13.61971831,552,967,2371,7,4.915542938
19,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,31,46,-0.163043476,0.063900415,14.17647059,0.717012448,5.957393215,14.17647059,864,1205,3295,3,5.470588235
20,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,22,29,-0.120689653,0.047004608,13.07228916,0.639631336,5.484768197,13.07228916,694,1085,2733,17,4.859393939
21,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,30,41,-0.13414634,0.05906822,14.65853659,0.65640599,6.12597703,14.65853659,789,1202,3069,16,5.170212766
22,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,34,33,0.015151515,0.075963719,14.94915254,0.637188209,6.2345363,14.94915254,562,882,2272,21,5.099767981
23,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,17,10,0.349999983,0.052325581,11.2173913,0.614341085,4.732692956,11.2173913,317,516,1298,7,5.133333333
24,https://insights.blackcoffer.com/how-neural-networks-can-be-applied-in-various-areas-in-the-future/,40,37,0.04054054,0.073263558,15.92424242,0.627973359,6.620886313,15.92424242,660,1051,2664,18,5.142570281
25,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,12,9,0.166666657,0.043209876,13.5,0.621399177,5.648559671,13.5,302,486,1200,2,4.898071625
26,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,30,47,-0.180851062,0.053846154,16.62790698,0.655944056,6.913540413,16.62790698,938,1430,3781,11,4.985614849
27,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,22,47,-0.265957444,0.044834308,13.3826087,0.619233268,5.600736786,13.3826087,953,1539,3568,1,5.240384615
28,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,22,26,-0.076923075,0.059332509,14.70909091,0.744128554,6.181287785,14.70909091,602,809,2327,10,5.570227082
29,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,18,26,-0.153846151,0.0472103,12.59459459,0.555793991,5.260155434,12.59459459,518,932,2114,6,5.094308943
30,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,24,33,-0.136363634,0.057114228,12.63291139,0.658316633,5.31649121,12.63291139,657,998,2879,33,4.948551153
31,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,33,30,0.049999999,0.054545454,13.91566265,0.628571429,5.817693632,13.91566265,726,1155,2886,11,5.176327029
32,https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,21,4,2.124999734,0.069060773,16.45454545,0.682320442,6.854746359,16.45454545,247,362,982,0,5.474206349
33,https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,33,40,-0.087499999,0.073811931,123.625,0.717896866,49.73715875,123.625,710,989,3055,15,4.799667958
